S No,College Name,Address,State,Contact No(s),E-Mail ID,Weblink
111,"Alpha College of Engineering, Chennai","34, UdayavarKoil Street, Thirumazhisai, Poonamallee, , Chennai - 600124 , Tamil Nadu ,India",Tamil Nadu,"044-2645,3111,7810013333",engineering@alphagroup.edu,http://www.alphagroup.edu/engineering/index.php
112,"P.B. College of Engineering - [PBCE], Chennai","Chennai - Bangalore Highway,Irungattukottai, Sriperumbudur, , Chennai - 602117 , Tamil Nadu ,India",Tamil Nadu,"044-24766386,27198033,9940026861,Administration,-,9600113031",pbce@pbce.in,http://www.pbce.in
113,"Shree Motilal Kanhaiyalal Fomra Institute of Technology - [SKMFIT], Chennai","Rajiv Gandhi Salai, IT Highway (OMR) , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-,27475621",admin@smkfomra.net,http://www.smkfomra.net/
114,"Sri Lakshmi Ammal Engineering College - [SLAE], Chennai","Thiruvanchery , Chennai - 600126 , Tamil Nadu ,India",Tamil Nadu,"044-22290357,22294878",info@slaecollege.edu.in,http://www.slaecollege.edu.in/
115,"Stella Maris College, Chennai","17, Cathedral Road , Chennai - 600086 , Tamil Nadu ,India",Tamil Nadu,"044-28111987,28111951",smc@md3.vsnl.net.in,http://www.stellamariscollege.org
116,"Exterior Interior (P Ltd), Chennai","1st Floor, Ganesh Building, No.63, Old No.30, Venkatanarayana Road, T Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-24311701,24310030,24330023",enquiry@exingroup.co.in,http://www.exterior-interiors.com/
117,"Ragas Dental College and Hospital - [RDC], Chennai","Ragas Dental College #191, East Coast Road, Uthandi, Perungudi , Chennai - 600096 , Tamil Nadu ,India",Tamil Nadu,"044-24530002,24530003,24530004",info@rdc.ac.in,http://rdc.ac.in/
118,"Pachaiyappa's College, Chennai","No. 201 to 203, EVR Periyar Road, Sheney Nagar , Chennai - 600030 , Tamil Nadu ,India",Tamil Nadu,"044-,5155909,Administration,-,044-26412844",pachaiyappas@gmail.com,http://www.pachaiyappaschennai.net
119,"ARM College of Engineering and Technology - [ARM], Chennai","Marai Malai Nagar , Chennai - 603209 , Tamil Nadu ,India",Tamil Nadu,"044-37411244,9380468333,9380468555,9380468777",admin@armenggcollege.com,http://armenggcollege.com/
120,"Agni College of Technology, Chennai","Old Mahabalipuram Road, Thalambur , Chennai - 600130 , Tamil Nadu ,India",Tamil Nadu,"044-67409441,67409499",mail@act.edu.in,http://www.act.edu.in
121,"Apollo Engineering College, Chennai","Chettipedu, Poonamallee,  , Chennai - 602103 , Tamil Nadu ,India",Tamil Nadu,"044-24362183,24362184,Admission,Helpline,-,9962867888",info@apolloengg.in,http://www.apolloengg.in
122,"DMI College of Engineering - [DMICE], Chennai","NH-48, Palanchur Nazarethpet Post, Opp Queens Land , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26810641,26811544",admissions@dmice.ac.in,http://www.dmice.ac.in
123,"Dhaanish Ahmed College of Engineering - [DACE], Chennai","Dhaanish Nagar, Vanchuvancherry, Padappai, Near Tambaram , Chennai - 601301 , Tamil Nadu ,India",Tamil Nadu,"044-71736800,71736823,9444604046,Administration,Office,-,9962022222",principal@dhaanishcollege.co.in,http://www.dhaanish.in
124,"Jaya Engineering College - [JEC], Chennai","CTH Road, Prakash Nagar, Thiruninravur, Chennai, Tamil Nadu , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-26300982,26341264,26390041,9444512418,9444010756",info@jec.ac.in,http://jec.ac.in/
125,"Karpaga Vinayaga College of Engineering and Technology - [KVCET], Chennai","#4, Dr. Ambedkar Road, Kodambakkam, , Chennai - 600024 , Tamil Nadu ,India",Tamil Nadu,"044-27565486,27565486",kvcet@live.com,http://www.kveg.in/kvcet_about.php
126,"Loyola Institute of Technology - [LIT], Chennai","Palanchur, Nazarathpet Post Chennai, Tamil Nadu. , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26811541,26810252,College,Office,-,9444390711",loyolaoffice@gmail.com,http://www.litedu.in/
127,"Madha Engineering College, Chennai","Somangalam Road, Madha Nagar, Kundrathur(PO), Sriperumbudur (TK), Kancheepuram (Dist) , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044-24780732,24780734",info@madhaengineeringcollege.com,http://www.madhaengineeringcollege.com
128,"Madha Institute of Engineering And Technology - [MIET], Chennai","Behind Anagaputhur Bus stand, Near Pallavaram, Erandamkattalai, Sadhanandapuram , Chennai - 602101 , Tamil Nadu ,India",Tamil Nadu,"044-,29301103,9444731104",principal448@gmail.com,http://www.madhaengineeringandtechnology.com/
129,"Magna College of Engineering, Chennai","Redhills - Tiruvallur High Road,  Magaral , Chennai - 600055 , Tamil Nadu ,India",Tamil Nadu,"044-27626301,27626302,27626303,Campus:,-,9940629736,Administrative,Office,:,-,9940629738",admin@magnace.edu.in,http://www.magnace.edu.in/
130,"Mohamed Sathak AJ College of Engineering - [MSAJCE], Chennai","34, Rajiv Gandhi Salai (OMR), Inside SIPCOT IT Park, Siruseri, Egattur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27470021,27470023",ajce@rediffmail.com,http://www.msajce-edu.in/index.php
131,"New Prince Shri Bhavani College of Engineering & Technology - [NPSBCET], Chennai","Vengaivasal Main Road, Gowrivakkam , Chennai - 600073 , Tamil Nadu ,India",Tamil Nadu,"044,22780404,Principal,-,22780303,9840813748",info@newprinceshribhavani.com,http://www.newprinceshribhavani.com
132,"SKR Engineering College, Chennai","Nazarathpet, Poonamallee , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26494205,26273380,9840666144",admin@skrenggcollege.org,http://www.skrec.org/
133,"Sakthi Mariamman Engineering College - [SMEC], Chennai","Narayanasamy nagar, 55, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-30903579,9244900702,9500084903",smecollege@gmail.com,http://www.smecollege.edu
134,"Sree Sastha College of Engineering - [SSCE], Chennai","Chembarambakkam , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26810121,26810126,Coordinator,-,9791020128,9865417261",admin@sasthaengg.com,http://www.sasthaengg.com/
135,"Sree Sastha Institute of Engineering and Technology, Chennai","Sree Sastha Nagar, Bangalore Highway, Chembarambakkam , Chennai - 600123 , Tamil Nadu ,India",Tamil Nadu,"044-26810114,26810115,26810117",ssiet@eth.net,http://sreesasthainstitutions.edu.in
136,"Sri Ramanujar Engineering College - [SREC], Chennai","Kolapakkam, Vandalur , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044,22751380,22751370,Admission,Officer,-,9840832639,Admission,Officer,-,9962081818",sriramanujar@yahoo.com,http://www.sriramanujar.ac.in
137,"TJ Institute of Technology - [TJIT], Chennai","Rajiv Gandhi Salai (Old Mahabalipuram Road) , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044-66041234,66041414,Admissions,-,8939875566,7358175586",admission@tjit.edu.in,http://www.tjit.edu.in/
138,"Thangavelu Engineering College, Chennai","Rajiv Gandhi Salai, (Old Mahabalipuram Road) , Chennai - 600097 , Tamil Nadu ,India",Tamil Nadu,"044,-66041234,66041414",admin@thangavelu.edu.in,http://www.thangavelu.edu.in/
139,"The New Royal College of Engineering and Technology - [ROCET], Chennai","Ecr, Pooncheri , Chennai - 603104 , Tamil Nadu ,India",Tamil Nadu,"044-27443116,27442117","ull,""telephone",http://rocet.co.in
140,"Gojan School of Business and Technology - [GSBT], Chennai","80 Feet Road, Edapalayam , Chennai - 600052 , Tamil Nadu ,India",Tamil Nadu,"044-26310808,26310808,9444025188",gsbt@gojaneducation.com,http://www.gojaneducation.com
141,"St Joseph College of Engineering, Chennai","Old Mamallapuram Road, Semmencherry, , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,"044-24500792,24500765,24501060,24501449",jprstjosephs@stjosephs.ac.in,http://www.stjosephs.ac.in
142,"Prince Dr K Vasudevan College of Engineering and Technology - [PDKVCET], Chennai","Medavakkam-Mambakkam Road, Ponmar Village,Ponmar , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,044-27497075,princedrkvasudevan@gmail.com,http://princedrkvasudevan.com/
143,"Jaya Sakthi Engineering College - [JSEC], Chennai","CTH Road, St Marys Nagar,(Near Avadi) , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-26340250,26344282",info@sakthiec.edu.in,http://www.sakthiec.edu.in/
144,"Asan Memorial College of Arts and Science - [AMCAS], Chennai","Velachery- Tambaram Road, Jaladampet , Chennai - 601302 , Tamil Nadu ,India",Tamil Nadu,"044-22460216,22460032",asanedn@md3.vsnl.net.in,http://www.amcas.in/
145,"Meenakshi Academy of Higher Education and Research - [MAHER], Chennai","No. 12, Vembuli Amman Koil Street, West K.K. Nagar , Chennai - 600078 , Tamil Nadu ,India",Tamil Nadu,"044-23643955,23643956",info@maher.ac.in,http://maherdeemedtobeuniversity.org
146,"MAHER University, Institute Of Distance Education, Chennai","No. 12, Vembuli Amman Koil Street, West K.K. Nagar , Chennai - 600078 , Tamil Nadu ,India",Tamil Nadu,"044-23643955,23643956,23643956",info@maher.ac.in,http://tfcsinfo.com/maher/distance.html
147,"ITM Business School, Chennai","D14, SIPCOT IT Park, Siruseri, Old Mahabalipuram Road , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27470133,27470134,27470135,27470136","ull,""telephone",http://www.itm.edu
148,"St. Thomas College of Arts and Science, Chennai","No. 140/6, St. Thomas Nagar, New Colony, A. K. R. Road, Koyambedu , Chennai - 600107 , Tamil Nadu ,India",Tamil Nadu,"044-24798489,Principal,-,2931,2257,Principal,-,6546,0500",principal.stcas@gmail.com,http://saintthomascollege.com/
149,"Galaxy Institute of Management, Chennai","Tambaram - Sriperumbudhur Highway, Vellarai , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-49520997,49522628,8939814624,8939814625,8939814407",director@galaxy.edu.in,http://galaxy.edu.in/
150,"C Kandasami Naidu College for Men - [CKNC], Chennai","No. E7, III Avenue, Annanagar East, Chennai, Tamilnadu , Chennai - 600102 , Tamil Nadu ,India",Tamil Nadu,044-26262970,admin@cknc.edu.in,http://www.cknc.edu.in/
151,"Chellammal Women College, Chennai","No.112, Anna Salai, Guindy , Chennai - 600002 , Tamil Nadu ,India",Tamil Nadu,"044-22351217,22301400","ull,""telephone",http://chellammal.edu.in/
152,"Bharath Post Graduate College, Chennai","8, Karpagambal Nagar, Mylapore Chennai, Tamil Nadu , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,044-66656665,bharathpgcollege@yahoo.com,http://bharathpgcollege.com/
153,"Dr. MGR Janaki College of Arts and Science for Women, Chennai","""Sathyabama MGR Maligai"", 11&13, Durgabai Deshmuk Road, Raja Annamalai Puram, , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-24937382,24618052,Principal,Office,No.,-,24618056",admin@mgrjanaki.ac.in,http://www.mgrjanaki.ac.in
154,"Indian Institute of Knowledge Management - [IIKM], Chennai","91, Valluvar Kottam High Road, Nugambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28214342,9445232862",contact@iikm.net,http://iikm.net/
155,"Alpha Arts and Science College - [AASC], Chennai","No.30, Tundalam Road, Chettiyar Agaram Road, Behind Ramachandra Hospital, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-24762368,9884442576,9884442578","ull,""telephone",http://www.alphagroup.edu/arts-science/index.php
156,"AM Jain College, Chennai","Meenambakkam , Chennai - 600114 , Tamil Nadu ,India",Tamil Nadu,"1,-,044-22248705,Shift,-,2,-,22248603",amjain1952@yahoo.com,http://www.amjaincollege.edu.in/
157,"Annai Veilankanni College for Women, Chennai","#81/33 V.G.P.Salai, Saidapet , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,"044-24851172,24710820",info@annaiveilankannis.com,http://annaiveilankannis.com/arts-and-science/
158,"Annai Violet Arts and Science College, Chennai","53, Violet College Road, Menambedu, Ambattur , Chennai - 600053 , Tamil Nadu ,India",Tamil Nadu,"044-26861611,26864684",contact@violetcollege.in,http://www.violetcollege.in/
159,"Bhakthavatsalam Memorial College for Women, Chennai","No. 14, 31st Street, Periyar Nagar, Korattur, Chennai, Tamil Nadu , Chennai - 600080 , Tamil Nadu ,India",Tamil Nadu,"044-26872891,26872699",bmcchennai@yahoo.co.in,http://bmc.ac.in/
160,"Chevalier T.Thomas Elizabeth College For Women - [CTTEWC], Chennai","No. 16, St. Marys Road, Maryland, Sembium , Chennai - 600011 , Tamil Nadu ,India",Tamil Nadu,"044-25375753,9444436959,9940519005",cttewc@yahoo.com,http://www.cttewc.com/
161,"Dhanraj Baid Jain College - [DBJC], Chennai","Jyothi Nagar, Thorapakkam, Chennai, Tamil Nadu , Chennai - 600096 , Tamil Nadu ,India",Tamil Nadu,"044-24960889,9840865174",placement@dbjaincollege.org,http://www.dbjaincollege.org/
162,"Dharmamurthi Rao Bahadur Calavala Cunnan Chettys Hindu College - [DRBCCC], Chennai","Dharmamurthi Nagar , Chennai - 600072 , Tamil Nadu ,India",Tamil Nadu,"0440-26850621,26850887",drbccchinducollege@yahoo.co.in,http://www.drbccchinducollege.ac.in/.
163,"Dr. Ambedkar Govt. Arts College - [DAGAC], Chennai","Vyasarpadi , Chennai - 600039 , Tamil Nadu ,India",Tamil Nadu,"044-25520151,25511998,Principal's,Office,-,9444381337",dagacvys@dagacvys@yahoo.co.in,http://www.daga.co.in/
164,"Jaya College of Arts and Science - [JCAS], Chennai","CTH Road, Thiruninravur , Chennai - 602024 , Tamil Nadu ,India",Tamil Nadu,"044-26390808,26300251",info@jcas.co.in,http://www.jcas.co.in/
165,"Kilakarai Bukhari Aalim Arabic College, Chennai","B.S. Abdur Rahman University Campus, G.S.T. Road , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"044-22751280,22751282",info@bukhariarabiccollege.com,http://www.bukhariarabiccollege.com/
166,"Preston International College, Chennai","No.10, Kavignar Bharathi Dasan Road , Chennai - 600018 , Tamil Nadu ,India",Tamil Nadu,"044-24353113,42111365,9941678784",info@prestonchennai.ac.in,http://www.prestonchennai.ac.in
167,"Sivananda Yoga Vedanta Centre, Chennai","3/655, Kaveri Nagar, Kuppam Road, Kottivakkam , Chennai - 600041 , Tamil Nadu ,India",Tamil Nadu,"044-24511626,24512546",samatalok@gmail.com,http://sivananda.org.in/chennai/
168,"Soka Ikeda College of Arts and Science for Women, Chennai","Sethu Bhaskara Nagar, Madhanangkuppam , Chennai - 600099 , Tamil Nadu ,India",Tamil Nadu,"044-29033707,Admissions,-,9677717456","ull,""telephone",http://www.sokaikedacollege.in/
169,"Sri Kanyaka Parameswari Arts and Science College for Women, Chennai","No.1, Audiappa Street, Parrys , Chennai - 600001 , Tamil Nadu ,India",Tamil Nadu,"044-25387021,Office,-,25387022",srikanyaka99@gmail.com,http://www.skpc.edu.in/
170,"The Madras Sanskrit College, Chennai","84, Royapettah High Road , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,044-24980421,info@madrassanskritcollege.org,http://www.madrassanskritcollege.com
171,"Valliammal College for Women, Chennai","E- 9, Anna Nagar , Chennai - 600102 , Tamil Nadu ,India",Tamil Nadu,044-26204300,vcw@valliammal.edu.in,http://www.valliammal.edu.in/
172,"Aalim Muhammed Salegh Academy of Architecture, Chennai","â€œNizara Educational Campusâ€, Muthapudupet, IAF Avadi , Chennai - 600055 , Tamil Nadu ,India",Tamil Nadu,"044-26842333,26842331",info@amsarch.ac.in,http://www.amsarch.ac.in/
173,"Rajalakshmi School of Architecture - [RSA], Chennai","Rajalakshmi Nagar, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-37181111,37181112",arch@rajalakshmi.edu.in,http://architecture.rajalakshmi.org/index.html
174,"Gurukul Lutheran Theological College, Chennai","94, Purasawalkam high Road, Kilpauk , Chennai - 700010 , Tamil Nadu ,India",Tamil Nadu,"044-26421007,26422450,26427545","ull,""telephone",http://www.gltc.edu/
175,"Hindustan Bible Institute - [HBI], Chennai","86-89, Medavakkam Tank Road Kilpaujk , Chennai - 600010 , Tamil Nadu ,India",Tamil Nadu,"044-26421199,26421975,26423664","ull,""telephone",http://www.hbionline.org/
176,"Jubilee Memorial Bible College - [JMBC], Chennai","31, Bible College Main Road, Urappakkam P.O , Chennai - 603210 , Tamil Nadu ,India",Tamil Nadu,"044-47442302,9677238955,9941801711",info@jmbc.ac.in,http://www.jmbc.ac.in
177,"Maranatha Bible Training Institute, Chennai","59b,Madhiravedu, vellappanchavadi , Chennai - 600010 , Tamil Nadu ,India",Tamil Nadu,"044-26800347,9840788828,9840403659","ull,""telephone",http://www.mbtic.net/main/index.php/about-us
178,"Auxilium School of Interior Design, Chennai","D-8, Halls Towers, 56 Halls Road (Behind Museum, Next to King's Hotel), Egmore, Chennai, Tamil Nadu , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,"044-30222111,30222113,9383398698,9383398698",asidindia@gmail.com,http://auxilium.in/
179,"Visualite Academy, Chennai","No.16/106, A I Block, 4th Street, Opp. Anna Adarsh College for Women, Anna Nagar , Chennai - 600040 , Tamil Nadu ,India",Tamil Nadu,"044-24660156,9025400400",visualiteacademy@gmail.com,http://visualite.in/contact.php
180,"Sri Sai Ram Homoeopathy Medical College and Research Centre, Chennai","Sai Leo Nagar, Poonthandalam , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-32507774,22512030",principal.hom@saimedical.com,http://www.saimedical.com
181,"Sri Sai Ram Medical College for Siddha Ayurveda and Homoeopathy, Chennai","Sai Leo Nagar, Poonthandalam, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22512010,22512030",medinfo@saimedica.com,http://sairamhomoeo.edu.in/
182,"National Institute of Siddha - [NIS], Chennai","Grand Southern Trunk Road, Tambaram Sanatorium , Chennai - 600047 , Tamil Nadu ,India",Tamil Nadu,"044-22411611,22380789",nischennaisiddha@yahoo.co.in,http://www.nischennai.org/
183,"Central Institute of Brackish Water Aquaculture - [CIBA], Chennai","75, Santhome High Road, RA Puram, Chennai , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-24617523,24610311",director@ciba.res.in,http://www.ciba.res.in/
184,"Academy of Fashion and Textile Technology - [AFTT], Chennai","16 , Gemini Parsn Complex, 3rd Floor, 121, Mount Road , Chennai - 600006 , Tamil Nadu ,India",Tamil Nadu,"044-8216087,42144230,9444194109,9884394451",aftt_hautecouture@yahoo.com,http://www.aftt.8m.com/
185,"Institute of Design - [IOD], Chennai","10, Shyam Gardens - 2nd Floor, Khader Nawaz Khan Road , Chennai - 600006 , Tamil Nadu ,India",Tamil Nadu,"0442-8230588,9840183372",iodworld@gmail.com,http://www.iodworld.in
186,"International Gemological institute - [IGI], Chennai","Prashanth Real Gold Tower Office #4,9th Floor North Usman Road T. Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,0444-3502570,"ull,""telephone",http://www.igiworldwide.com
187,"Avel Flight School, Chennai","No.24, 3rd Cross Street, Bakkiyathammal Nagar, Padi , Chennai - 600050 , Tamil Nadu ,India",Tamil Nadu,"044-42849829,9176938882,9811023279,9003179992",study@avelflightschool.com,http://avelflightschool.com/india/
188,"Instrulab Institute of Aviation Technology, Chennai","No:125, G.S.T.Road Chrompet , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044-22381305,22382345,9841041339,9382828232",instlab@satyam.net.in,http://www.iiat.net.in
189,"Access Atlantech Media College, Chennai","""Nijapadam"" 6/9, Damodaran Street, (off) Mayor Ramanathan Salai, Chetpet , Chennai - 600031 , Tamil Nadu ,India",Tamil Nadu,"044-28362795,9962516000",enquiry@aatcollege.com,http://www.aatcollege.com
190,"Indian School of Business Management and Administration - [ISBM], Chennai","Old Door No.304/305, Guna Complex, New No. 443 & 445, Next to Hotel Anandha, Opp to DMK Office, Anna Salai, Teynampet , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-48500507,9109956440",chennai@isbm.org.in,http://www.isbm.org.in
191,"LV Prasad Filmand TV Academy, Chennai","Prasad Studios Campus 28, Arunachalam Road , Chennai - 600093 , Tamil Nadu ,India",Tamil Nadu,"044-65257476,65257478,9840210909",info@prasadacademy.com,http://www.prasadacademy.com/
192,"Magic Lantern School of Cinema, Chennai","13N, Sreevatsa Apartments, Third Floor, 6th Main Road, Raja Annamalaipuram , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-42069956,9176691403,9176691404",magiclantern.asc@gmail.com,http://www.magiclantern.in
193,"Shashikant School of Photography, Chennai","No.9, 4th Street, Venkateshwara Nagar, Karpagam Gardens, Adyar , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,"044-43504539,9841905484,9841022758","ull,""telephone",http://www.shashikant.com
194,"Meenakashi Ammal Dental College and Hospital, Maher University, Chennai","Alapakkam Main Road , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,"0442-3782566,23780177",madc05@gmail.com,http://www.madc.edu.in/
195,"Annamal Institute of Hotel Management and Catering Technology - [AIHMCT], Chennai","16/2, Jawaharlal Nehru Salai, (100ft. Road), Arumbakkam , Chennai - 600106 , Tamil Nadu ,India",Tamil Nadu,044-65330070,ediamal@yahoo.com,http://www.iibtindia.com/annamal.html
196,"Ayyar Bawan School of Catering and Hotel Management - [ABSCHM], Chennai","No: 6, Periyar St, B.V.Puram, Avadi, Chennai , Chennai - 600054 , Tamil Nadu ,India",Tamil Nadu,"044-26374777,65730011",info@ayyaarbawan.com,http://www.ayyaarbawan.com/
197,"MAA School of Hotel Managment - [MSHM], Chennai","233/33, Selliamman Koil Street Nerkundram , Chennai - 600107 , Tamil Nadu ,India",Tamil Nadu,"044-64605677,9380554141",maaschool@yahoo.com,http://www.mshmindia.com
198,"Southern Academy of Maritime Studies - [SAMS], Chennai","No.82, Panapakkam, Tirupathi Road, Uthukottai Taluk , Chennai - 601102 , Tamil Nadu ,India",Tamil Nadu,"044-42269050,9244909383",admissions@samsindia.com,http://samsmarine.org/
199,"Amaze Multimedia, Chennai","No. 2, Golden Homes, Plot No.5, Wheat Crafts , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28266006,9443229749","ull,""telephone",http://www.amazemediacollege.com/
200,"Image Institute of Multimedia Arts and Graphic Effects Adyar, Chennai","No. 73, Dr. Mutgulakshmi Salal L.B.Road, Adyar , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,"044-42607850,42607851",vigram@imageil.com,http://www.image.edu.in/
201,"Image Institute of Multimedia Arts and Graphic Effects Vadapalani, Chennai","D/3/5, Doshi Garden Commercial 174, Arcot Road, Vadapalani , Chennai - 600026 , Tamil Nadu ,India",Tamil Nadu,"044-42140407,42149119",vadapalani@image.edu.in,http://www.imageil.com
202,"Aadhi Bhagawan College of Pharmacy, Chennai","Rantham Village , Chennai - 604407 , Tamil Nadu ,India",Tamil Nadu,"04182-248378,9443344072,9443344471",aadhibhagawan@gmail.com,http://www.abcpharmacy.co.in/
203,"Adhiparasakthi College of Pharmacy, Chennai","Melmaruvathur, Kancheepuram , Chennai - 603319 , Tamil Nadu ,India",Tamil Nadu,044-27529093,deanapac@tnau.ac.in,http://www.omsakthi.org/trust/trust_pharmacy.html
204,"AMS Durgabai Deshmukh General Hospital and Research Centre, Chennai","Andhra Mahila Sabha 11, Dr Durgabai Deshmukh Road , Chennai - 600028 , Tamil Nadu ,India",Tamil Nadu,"044-,24938311,24938351",ddghrc@sify.com,http://andhramahilasabha.org.in/DDHRC_Chennai.htm
205,"Apollo Institute of Hospital Management and Allied Science, Chennai","Vanagaram to Ambattur Main Road, Ayanambakkam , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,044-26536966,aihmas@apollohospitalseducation.com,http://www.apollohospitalseducation.com/aihmas/index.html
206,"Karpaga Vinayaga Institute of Medical Sciences and Research Center - [KIMS & RC], Chennai","GST Road, Chinna Kolambakkam, Palayanoor PO, Madurantagam T.k. , Chennai - 603308 , Tamil Nadu ,India",Tamil Nadu,"044-27598484,24735716",Kims.medical@yahoo.in,http://www.kims.edu.in
207,"Lotus Clinical Research Academy - [LCRA], Chennai","III Floor, 508, TTK Road , Chennai - 600018 , Tamil Nadu ,India",Tamil Nadu,0444-2111421,"ull,""telephone",http://www.lotusacademy.co.in
208,"Mohamed Sathak A.J College of Physiotherapy, Chennai","144/1, Sathak center annex Nungambakkam High Road, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-22834988,65550555,Principal,No.,-,9940626453",msajcpt@yahoo.co.in,http://www.msajphysio-edu.in
209,"National Institute of Epidemiology - [NIE], Chennai","Tamil Nadu Housing Board, Ayapakkam Near Ambattur , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26136417,26136420,26821600,26820464,26820355",directorne@dataone.in,http://www.nie.gov.in/
210,"Saveetha College of Physiotherapy, Chennai","162, Poonamallee High Road , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-26801050,26800511","ull,""telephone",http://www.saveetha.com/physiotherapy/
211,"Saveetha Medical College, Chennai","Saveetha Nagar, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,044-66726616,info.smc@saveetha.com,http://www.saveethamedicalcollege.com/
212,"Sri Sairam Siddha Medical College and Research Centre - [SSSMCRC], Chennai","Sai Leo Nagar, Poonthandalam, West Tambaram , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044–22512050,32507771",siddha@saimedical.com,http://sairamsiddha.edu.in/
213,"Annai Veilankanni Nursing College, Chennai","81/33 VGP Salai , Chennai - 600015 , Tamil Nadu ,India",Tamil Nadu,"044-,24851172,24710820,65137516,65362757,9282144444",dev@annaiveilankannis.com,http://avsn.annaiveilankannis.com
214,"Miot College of Nursing, Chennai","4/112, Mount Poonamallee Road, Manapakkam , Chennai - 600089 , Tamil Nadu ,India",Tamil Nadu,"044-22491025,Hospital,No.,-,22492288",miotcon@gmail.com,http://www.miotcollegeofnursing.com/index.html
215,"Mohamed Sathak AJ College of Nursing - [MSAJCN], Chennai","No.34, Rajiv Gandhi Road OMR, IT Highway , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-42625000,9244904604,9244903601","ull,""telephone",http://www.msajcnursing-edu.in/
216,"Sooriya School of Nursing and Hospital, Chennai","No.1, Arunachalam Road, Saligramam , Chennai - 600093 , Tamil Nadu ,India",Tamil Nadu,"044-23761751,23761756,9444232483",info@sooriyahospital.com,http://www.sooriyahospital.com/school_of_nursing/index.htm
217,"Tamil Nadu Nurses & Midwives Council, Chennai","Old No.140, New No.56, Santhome High Road (Near Santhome Church) , Chennai - 600004 , Tamil Nadu ,India",Tamil Nadu,"044-24934792,40473330",info@tamilnadunursingcouncil.com,http://www.tamilnadunursingcouncil.com
218,"Vee Care College of Nursing, Chennai","No. 1/5, Chettiar Agaram Road, Sivabootham Village , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,0444-2945455,veecarecollegeofnursing@gmail.com,http://veecarenursingcollege.org/index.html
219,"Aarupadai Veedu Institute of Technology - [AVIT], Chennai","Vinayaka Nagar, Old Mahabalipuram Road, Paiyanoor , Chennai - 603104 , Tamil Nadu ,India",Tamil Nadu,"044-42989000,For,General,Enquiry:,-,8754541025,8754541026",contactus@avit.ac.in,http://www.avit.ac.in/
220,"Apollo Computer Education, Chennai","Apollo Towers, 4, Doraiswamy Road (Opp. Pothys), T.Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"0442-4329324,24329325",shanthakumar50@yahoo.com,http://www.apollocomputereducation.com/index.html
